UFID,GRND_FLR,HEIGHT,CONT,ABSOLUTE_HEIGHT,latitude,longitude
1986409768512812695800000000,3.0,12.0,0.0,12.0,36.00926755520801,129.3273901784607
1990409458692813140700000000,1.0,7.0,37.59819156563914,44.59819156563914,36.00973478068219,129.32396827950717
1987409421092813570000000000,4.0,17.0,37.443075820545225,54.443075820545225,36.01012941043274,129.32356282553707
1988409496572812706600000000,3.0,12.0,37.772176214594,49.772176214594,36.00933573795909,129.32437653707376
1994409387112813960400000000,4.0,16.0,38.00628607222169,54.00628607222169,36.010488296535975,129.32319651034814
1988409136232819445300000000,3.0,11.0,32.27207185646173,43.27207185646173,36.01548117129918,129.32056075718558
1987409383712814458000000000,4.0,20.0,38.56503643844454,58.56503643844454,36.010937088506935,129.32317200655046
1988409207192821599400000000,2.0,9.0,33.55361189954236,42.55361189954236,36.0174057057787,129.32140413843007
1988409163052816630400000000,4.0,16.0,45.0,61.0,36.01294066450394,129.32078367510198
1988409066582820430000000000,4.0,14.0,40.585095675080446,54.585095675080446,36.016382768077136,129.3198147530269
1988409203902819533700000000,3.0,11.0,28.634433806121702,39.634433806121706,36.01554620538147,129.3213131514701
1999409109032820141700000000,5.0,17.0,37.10887863436491,54.10887863436491,36.01611406558693,129.32027766361924
1987409738602819798200000000,15.0,47.0,23.265906620741156,70.26590662074116,36.01566959918049,129.3272466750121
2017229474912793279700000000,2.0,16.0,25.0,41.0,36.01389724155456,129.32758508045404
1988409726332818893800000000,15.0,48.0,20.67975873221573,68.67975873221573,36.01485787954656,129.32708670107496
0000409650892819432700000000,5.0,20.0,14.999999999999998,35.0,36.015359320691,129.32626485062207
1993409217452814005400000000,1.0,4.0,43.78416040623092,47.78416040623092,36.01056518602698,129.3213173323208
1985409766142820966500000000,2.0,8.0,24.93126921911447,32.93126921911447,36.01671572059494,129.32758282931124
1992409395222820615200000000,15.0,44.0,21.169889476405018,65.16988947640502,36.016479041544514,129.32346222420836
1990409182812819244100000000,19.0,52.0,30.0,82.0,36.015290006623076,129.32107168416576
1991409208482819999300000000,22.0,63.0,28.72150536038129,91.72150536038129,36.01596452934493,129.32137621666033
1994409269542821830400000000,4.0,13.0,30.738166023171342,43.738166023171345,36.017600339057914,129.32210129504338
1991409037972820284800000000,15.0,44.0,40.0,84.0,36.01625818285631,129.31949373598403
0000409609322820583600000000,5.0,20.0,12.774507675084392,32.774507675084394,36.01640462163517,129.3258345783525
